Partner Name,Year,Export (US$ Thousand),Import (US$ Thousand),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),Continente,Intervalo,Share_Cafe,Share_Banano,Share_Cardamomo,Share_Azucar,Share_Textiles,Share_Hortalizas,Share_Pescado,Share_Lacteos,Share_Carne,Share_Plasticos,Arancel_Ajustado,Share_Total_Ponderado,Demanda_Ajustada,Revealed Comparative Advantage,MFN SpecificDuty Imports (log),TLC_Con_GT,Arancel_Especifico_GT,Mercado_Atractivo
Afghanistan,1988,213030.4,54459.52,4.846360655737705,0.88,1.83,8.76,8.76,82.66,8.03,0.55,35.0,0.0,30863.03,70204.13,23987.37,17.68,12.43,4142.0,69.41,15.64,72.45,40.51,2029.66,78436.91,94191.5,0.0,Asia,1988-1990,8.047961222726055e-07,6.438368978180844e-07,3.219184489090422e-06,9.657553467271265e-07,2.89726604018138e-06,4.828776733635632e-07,1.931510693454253e-06,3.219184489090422e-07,6.438368978180844e-07,2.4143883668178163e-06,52.5,1.3713725923525197e-06,0.0013959680957135307,0,11.270062635386212,0,42.0,0
Angola,1988,375527.89,370702.76,4.154359526372444,2.02,3.89,25.43,25.43,69.19,5.37,0.0,40.0,0.0,723819.51,754183.84,167297.68,12.7,6.14,5438.0,76.0,16.27,41.55,24.8,451.15,727741.99,921481.52,0.0,África,1988-1990,2.1912800095465576e-06,1.0956400047732788e-06,1.095640004773279e-07,2.1912800095465576e-06,1.0956400047732787e-05,1.0956400047732788e-06,1.3147680057279346e-06,2.191280009546558e-07,3.2869200143198365e-07,1.643460007159918e-05,60.0,2.484911530825797e-06,0.015101042013654885,0,13.49770322913276,0,48.0,0
Albania,1988,30103.56,47709.3,3.511804733727811,1.84,2.38,20.83,20.83,60.48,17.61,1.08,25.0,0.0,18806.15,62294.53,38901.42,19.2,9.68,5684.0,66.87,19.19,57.93,48.52,3000.0,37904.09,101195.95,0.0,Europa,1988-1990,2.115126591439316e-06,1.128067515434302e-06,1.4100843942928778e-07,7.050421971464388e-07,1.6921012731514528e-06,5.64033757717151e-07,1.4100843942928775e-06,9.870590760050145e-07,8.460506365757264e-07,1.6921012731514528e-06,37.5,1.2789465456236398e-06,0.0015848738812758942,0,10.542840682844531,0,30.0,0
Andorra,1988,67924.46,3284.01,3.511804733727811,6.74,7.17,70.22,70.22,7.95,20.87,0.95,43.96,0.0,13882.67,28123.0,6099.0,16.09,19.18,13124.0,72.63,15.77,58.12,45.41,3000.0,18969.73,34222.0,0.0,Europa,1988-1990,1.4559209373335238e-07,7.764911665778795e-08,9.706139582223492e-09,4.853069791111747e-08,1.164736749866819e-07,3.8824558328893976e-08,9.706139582223493e-08,6.794297707556447e-08,5.823683749334096e-08,1.164736749866819e-07,65.94,8.803468601076708e-08,4.3188943711714855e-06,0,9.850652544002044,0,52.752,0
United Arab Emirates,1988,2945350.25,7091823.87,4.846360655737705,6.69,4.66,25.79,25.79,68.13,5.07,1.01,352.69,0.0,5851467.0,6780423.02,673594.89,14.46,6.0,25124.0,69.91,18.52,41.44,37.81,2547.12,6695070.72,7454017.91,0.0,Asia,1988-1990,0.0001048021053144,8.384168425158802e-05,0.0004192084212579,0.0001257625263773,0.0003772875791321,6.288126318869101e-05,0.0002515250527547,4.192084212579401e-05,8.384168425158802e-05,0.0003144063159434,529.035,0.0001785827874558,2.389422726518398,0,15.716882249522026,0,423.228,0
Argentina,1988,1136421.71,1928596.45,3.7175375,3.87,6.65,32.58,32.58,57.81,7.15,2.47,1296.17,0.0,1191842.81,3566752.5,492110.71,14.51,10.49,29286.0,67.05,19.9,36.83,32.18,3000.0,2238071.82,4058863.21,0.0,América,1988-1990,4.560089973290145e-05,6.840134959935216e-05,1.1400224933225362e-05,5.7001124666126806e-05,8.550168699919021e-05,3.990078726628877e-05,2.8500562333063403e-05,3.420067479967608e-05,5.130101219951413e-05,5.7001124666126806e-05,1944.255,5.021799083085771e-05,0.04978793980353462,0,14.621125705304998,0,1555.404,0
Antigua and Barbuda,1988,14406.52,2173.8,3.7175375,1.17,0.69,5.42,5.42,80.14,13.36,1.08,30.0,0.0,2892.0,3182.93,18606.07,12.75,12.79,2274.0,67.68,20.8,56.32,38.27,199.1,3661.14,21789.01,0.0,América,1988-1990,5.1398640622500984e-08,7.709796093375147e-08,1.2849660155625244e-08,6.424830077812623e-08,9.637245116718933e-08,4.4973810544688363e-08,3.2124150389063116e-08,3.8548980466875736e-08,5.78234707003136e-08,6.424830077812623e-08,45.0,5.66027529855292e-08,2.674849226955291e-06,0,8.20580295497884,0,36.0,0
Australia,1988,10508173.98,14350888.96,4.073670212765958,11.83,5.99,65.9,65.9,20.96,7.5,5.63,3000.0,0.0,8328077.34,20967010.84,635841.21,13.6,7.16,67147.0,67.68,19.87,18.49,16.97,3000.0,9668343.93,21602852.05,0.0,Oceanía,1988-1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,0.0,0.0,0,16.084367697661843,0,3600.0,0
Austria,1988,22046961.12,14273975.93,3.511804733727811,6.37,8.06,46.62,46.62,44.27,4.26,4.85,2029.66,0.0,470170.98,1953882.94,122643.65,14.54,12.88,58010.0,70.21,16.68,21.4,18.96,3000.0,1024973.43,2076526.6,0.0,Europa,1988-1990,0.0006328172087016,0.0003375025113075,4.2187813913440695e-05,0.0002109390695672,0.0005062537669612,0.0001687512556537,0.0004218781391344,0.000295314697394,0.0002531268834806,0.0005062537669612,3044.4900000000002,0.0003826434721949,1.7934203402019464,0,13.840178223902017,0,2435.592,0
Burundi,1988,37299.67,73592.16,4.154359526372444,0.54,0.54,5.54,5.54,88.92,5.28,0.26,50.0,0.0,2036.0,110903.75,49297.7,13.44,9.34,2788.0,66.93,20.88,51.98,37.73,471.64,113983.75,160201.45,0.0,África,1988-1990,4.35014373961909e-07,2.175071869809545e-07,2.1750718698095452e-08,4.35014373961909e-07,2.175071869809545e-06,2.175071869809545e-07,2.610086243771454e-07,4.35014373961909e-08,6.525215609428635e-08,3.262607804714317e-06,75.0,4.933063000728048e-07,0.00047767731794691925,0,11.643819946498546,0,60.0,0
Benin,1988,66486.37,17352.43,4.154359526372444,12.71,22.39,18.61,18.61,78.65,2.19,0.55,110.0,0.0,36542.71,42016.18,18907.96,15.69,9.34,5974.0,70.57,18.6,66.97,51.09,3000.0,53882.3,60924.14,0.0,África,1988-1990,1.025728348395787e-07,5.128641741978935e-08,5.128641741978934e-09,1.025728348395787e-07,5.128641741978934e-07,5.128641741978935e-08,6.154370090374721e-08,1.0257283483957867e-08,1.5385925225936803e-08,7.6929626129684e-07,165.0,1.1631759470808225e-07,1.2158993493616674e-05,0,10.894575875864804,0,132.0,0
Burkina Faso,1988,42212.93,24547.18,4.154359526372444,0.52,2.45,4.62,4.62,92.09,2.64,0.66,30.0,0.0,33259.39,35036.66,68487.55,12.94,11.13,3406.0,66.79,23.25,48.79,25.71,1296.17,46073.2,103524.21,0.0,África,1988-1990,1.4510208886694306e-07,7.255104443347153e-08,7.255104443347154e-09,1.4510208886694306e-07,7.255104443347154e-07,7.255104443347153e-08,8.706125332016586e-08,1.4510208886694308e-08,2.1765313330041465e-08,1.088265666502073e-06,45.0,1.6454576877511345e-07,8.780727400784977e-05,0,10.738008419392168,0,36.0,0
Bangladesh,1988,801086.8,221256.38,4.846360655737705,3.6,6.15,22.98,22.98,72.6,3.3,1.12,50.0,0.0,30912.63,567794.59,52546.98,17.92,16.48,9920.0,70.4,16.48,45.64,35.37,2029.66,267833.77,620341.57,0.0,Asia,1988-1990,3.2696997081882853e-06,2.615759766550628e-06,1.307879883275314e-05,3.923639649825942e-06,1.1770918949477828e-05,1.961819824912971e-06,7.847279299651884e-06,1.307879883275314e-06,2.615759766550628e-06,9.809099124564856e-06,75.0,5.5715683027528375e-06,0.016220329389339958,0,12.498125539509568,0,60.0,0
Bulgaria,1988,1278230.45,376577.93,3.511804733727811,7.7,7.79,65.23,65.23,12.71,18.84,3.22,472.46,0.0,226013.38,564133.06,42697.99,15.38,21.17,30131.0,67.57,18.79,48.6,43.34,3000.0,416226.97,606831.05,0.0,Europa,1988-1990,1.6695067701520946e-05,8.904036107477839e-06,1.11300451343473e-06,5.56502256717365e-06,1.3356054161216757e-05,4.452018053738919e-06,1.11300451343473e-05,7.791031594043109e-06,6.678027080608378e-06,1.3356054161216757e-05,708.6899999999999,1.0094950936852998e-05,0.00535661447568891,0,12.938988393951291,0,566.952,0
Bahrain,1988,335294.13,458407.8,4.846360655737705,1.47,5.6,12.48,12.48,80.9,5.73,0.89,50.0,0.0,383951.19,469363.02,97832.67,14.83,9.27,10439.0,69.81,19.29,44.95,32.67,3000.0,491450.67,567195.68,0.0,Asia,1988-1990,6.774294372398364e-06,5.419435497918691e-06,2.7097177489593452e-05,8.129153246878035e-06,2.4387459740634107e-05,4.064576623439018e-06,1.625830649375607e-05,2.7097177489593454e-06,5.419435497918691e-06,2.032288311719509e-05,75.0,1.1543397610566807e-05,0.06962609872612088,0,13.105118882096642,0,60.0,0
"Bahamas, The",1988,356568.82,58504.92,3.7175375,1.62,2.07,16.26,16.26,66.78,14.34,2.62,45.0,0.0,22167.78,77210.0,267714.9,15.12,9.12,4526.0,69.24,18.34,59.62,38.64,3000.0,38314.87,344924.9,0.0,América,1988-1990,1.3833256774901875e-06,2.074988516235281e-06,3.458314193725469e-07,1.7291570968627343e-06,2.593735645294101e-06,1.210409967803914e-06,8.645785484313671e-07,1.0374942581176403e-06,1.5562413871764608e-06,1.7291570968627343e-06,67.5,1.5233874023360694e-06,0.0013011044978493364,0,10.553619449658523,0,54.0,0
Belize,1988,22329.16,1932.65,3.7175375,3.84,8.2,20.91,20.91,70.45,8.18,0.45,50.0,0.0,23635.0,41620.37,4303.38,16.14,40.28,2895.0,80.28,11.61,62.27,44.55,160.58,28131.3,45923.75,0.0,América,1988-1990,4.5696744318279744e-08,6.854511647741963e-08,1.1424186079569936e-08,5.712093039784969e-08,8.568139559677452e-08,3.9984651278494786e-08,2.856046519892484e-08,3.4272558238709816e-08,5.1408837358064714e-08,5.712093039784969e-08,40.0,5.032353968050557e-08,2.372141194232417e-06,0,10.244673661383562,1,40.0,0
Bolivia,1988,70153.06,33646.21,3.7175375,1.84,0.73,9.17,9.17,87.61,2.52,0.69,50.0,0.0,1361.0,54180.76,110767.28,15.76,5.99,4233.0,70.35,18.83,56.88,48.17,509.65,14338.21,164948.04,0.0,América,1988-1990,7.95551318474192e-07,1.193326977711288e-06,1.98887829618548e-07,9.9443914809274e-07,1.4916587221391095e-06,6.96107403664918e-07,4.9721957404637e-07,5.966634888556439e-07,8.949952332834659e-07,9.9443914809274e-07,75.0,8.761008894697039e-07,0.00038786150668795324,0,9.570753021980556,0,60.0,0
Brazil,1988,3157960.26,7733502.96,3.7175375,5.45,7.24,34.98,34.98,55.7,5.65,3.67,3000.0,0.0,7100848.35,14941211.35,1326680.06,14.14,11.32,57220.0,68.39,18.91,25.33,23.13,3000.0,9520303.36,16267891.41,0.0,América,1988-1990,0.0001828556166133,0.00027428342492,4.571390415333604e-05,0.0002285695207666,0.00034285428115,0.0001599986645366,0.0001142847603833,0.00013714171246,0.00020571256869,0.0002285695207666,4500.0,0.0002013697477954,0.3459883449522727,1,16.068937376844733,0,3600.0,0
Barbados,1988,46120.11,4773.91,3.7175375,1.67,1.6,19.81,19.81,73.27,6.92,0.0,30.0,0.0,29385.0,33413.59,7554.94,12.72,37.16,4157.0,69.21,20.35,45.42,35.7,199.1,33370.32,40968.53,0.0,América,1988-1990,1.128772124639634e-07,1.693158186959451e-07,2.821930311599085e-08,1.4109651557995424e-07,2.1164477336993133e-07,9.876756090596797e-08,7.054825778997712e-08,8.465790934797253e-08,1.2698686402195878e-07,1.4109651557995424e-07,45.0,1.2430603022593966e-07,1.2900560885998166e-05,0,10.415452127450946,0,36.0,0
Brunei,1988,198481.32,1523443.35,4.846360655737705,7.1,1.51,24.01,24.01,68.3,6.19,1.49,132.01,0.0,458816.65,461928.0,1086184.91,14.78,9.86,7597.0,74.45,17.22,39.7,27.85,3000.0,464898.05,1548112.91,0.0,Asia,1988-1990,2.251325940041315e-05,1.801060752033052e-05,9.00530376016526e-05,2.7015911280495777e-05,8.104773384148733e-05,1.3507955640247889e-05,5.4031822560991554e-05,9.00530376016526e-06,1.801060752033052e-05,6.753977820123944e-05,198.015,3.836259401830401e-05,0.29366248145082047,0,13.049575564226384,0,158.41199999999998,0
Bhutan,1988,6607.45,63.31,4.846360655737705,5.27,4.9,20.62,20.62,79.38,0.0,0.0,50.0,0.0,0.0,118.42,288.0,16.25,13.21,826.0,65.13,19.25,88.66,44.33,199.1,221.69,406.42,0.0,Asia,1988-1990,9.35587432667028e-10,7.484699461336224e-10,3.742349730668112e-09,1.1227049192004332e-09,3.3681147576013003e-09,5.613524596002166e-10,2.245409838400867e-09,3.742349730668112e-10,7.484699461336224e-10,2.8067622980010836e-09,75.0,1.5942409852646155e-09,1.3280446944355632e-09,0,5.405780669797565,0,60.0,0
Central African Republic,1988,20345.41,8310.05,4.154359526372444,2.58,0.45,5.46,5.46,89.58,2.98,1.99,1296.17,0.0,4797.12,8016.26,92494.89,12.76,12.7,4997.0,74.9,17.75,64.76,26.3,1296.17,44965.25,100511.15,0.0,África,1988-1990,4.912196079503797e-08,2.4560980397518985e-08,2.456098039751898e-09,4.912196079503797e-08,2.4560980397518984e-07,2.4560980397518985e-08,2.9473176477022782e-08,4.912196079503797e-09,7.368294119255695e-09,3.6841470596278473e-07,1944.255,5.5704303541573075e-08,2.3796651217740055e-07,0,10.713667487361752,0,1555.404,0
